Player Name,Position,Pos. Type,Avg. Assists,Avg. Points,Avg. Field Goals Attempted,Avg. Field Goals Made,Avg. Oe,Avg. Rebounds Offensive,Avg. Rebounds Total,Avg. Turnovers,Count of Number of Records
Chase Budinger,SF,big,1.07,6.61,4.37,1.83,0.54,0.57,2.33,0.67,30.00
Chris Andersen,PF,big,0.33,3.00,0.67,0.67,0.75,0.33,1.67,0.67,3.00
Chris Bosh,PF,big,2.33,18.40,13.50,6.33,0.54,0.97,8.20,1.37,30.00
Chris Copeland,SF,big,0.56,5.57,2.39,0.78,0.39,0.06,0.50,0.28,18.00
Chris Johnson,SF,big,0.30,3.20,1.45,0.55,0.66,0.30,0.95,0.25,20.00
Chris Kaman,C,big,1.00,4.67,4.75,1.75,0.36,0.75,2.25,1.00,4.00
Chris Paul,PG,guard,8.89,17.93,14.00,6.44,0.61,0.44,3.33,2.56,27.00
Christian Wood,PF,big,0.21,5.67,3.07,1.36,0.48,0.71,2.29,0.14,14.00
Chuck Hayes,PF,big,1.00,4.00,1.00,0.50,0.43,0.00,4.00,1.50,2.00
Cleanthony Early,SF,big,0.11,3.50,0.67,0.33,0.33,0.00,0.22,0.11,9.00
Cliff Alexander,PF,big,0.00,2.50,1.43,0.71,0.53,0.29,0.86,0.14,7.00
Clint Capela,C,big,0.77,7.70,5.63,3.33,1.12,2.80,6.93,1.03,30.00
Cody Zeller,PF,big,1.04,8.74,6.11,3.11,0.66,1.64,5.25,0.86,28.00
Cole Aldrich,U,big,0.78,5.17,2.56,1.22,0.63,0.33,2.22,0.67,9.00
Corey Brewer,SG,guard,1.56,7.86,6.91,2.34,0.43,0.47,2.56,1.09,32.00
Cory Jefferson,PF,big,0.00,2.67,2.00,1.00,0.56,0.25,1.50,0.00,4.00
Cory Joseph,PG,guard,2.90,9.10,6.94,3.16,0.55,0.55,2.65,1.26,31.00
Courtney Lee,SG,guard,1.48,10.16,8.70,3.82,0.48,0.39,2.61,0.94,33.00
Cristiano Felicio,PF,big,0.50,2.00,0.50,0.50,1.00,0.00,0.00,0.00,2.00
D.J. Augustin,PG,guard,1.94,5.48,3.74,1.42,0.49,0.16,1.13,0.94,31.00
D'Angelo Russell,PG,guard,3.34,11.75,11.47,4.63,0.49,0.75,4.09,2.31,32.00
Damian Lillard,PG,guard,6.76,24.55,20.03,8.38,0.50,0.66,4.48,3.52,29.00
Damien Inglis,SF,big,0.29,2.67,1.14,0.29,0.21,0.14,1.14,0.57,7.00
Damjan Rudez,SF,big,0.38,7.00,1.69,0.85,0.32,0.00,0.46,0.46,13.00
Danilo Gallinari,SF,big,2.78,17.30,12.37,4.81,0.50,1.22,5.93,1.22,27.00
Danny Green,SG,guard,1.73,7.00,7.33,2.61,0.46,0.55,3.82,1.21,33.00
Dante Cunningham,PF,big,0.55,5.52,3.61,1.65,0.53,0.61,3.45,0.35,31.00
Darrell Arthur,PF,big,0.89,7.38,6.75,3.07,0.51,1.18,3.50,0.71,28.00
Darren Collison,PG,guard,4.20,13.44,10.64,4.92,0.55,0.40,1.92,1.88,25.00
Darrun Hilliard,SF,big,0.13,3.00,3.50,0.88,0.35,0.38,0.75,0.38,8.00
David Lee,PF,big,1.93,8.38,6.30,3.00,0.56,1.44,4.37,1.37,27.00
David West,PF,big,1.58,5.94,4.76,2.58,0.70,0.79,3.85,1.03,33.00
DeAndre Jordan,C,big,0.91,11.19,5.75,4.09,1.27,3.59,13.16,1.25,32.00
DeJuan Blair,U,big,0.29,4.13,2.59,0.82,0.30,0.76,2.24,0.76,17.00
Delon Wright,PG,guard,0.20,0.00,1.20,0.00,0.08,0.20,1.00,0.20,5.00
DeMar DeRozan,SG,guard,4.22,22.59,16.94,7.59,0.52,0.72,4.47,2.47,32.00
DeMarcus Cousins,F,big,2.77,25.05,19.91,8.36,0.47,2.36,10.59,3.41,22.00
DeMarre Carroll,SF,big,1.15,11.85,11.30,4.40,0.44,1.20,4.85,1.30,20.00
Dennis Schroder,PG,guard,4.33,10.55,9.76,4.00,0.53,0.36,2.45,1.82,33.00
Deron Williams,PG,guard,5.77,14.77,12.31,5.15,0.54,0.27,3.27,2.27,26.00
Derrick Favors,PF,big,1.54,16.85,13.15,6.88,0.64,3.19,8.62,1.46,26.00
Derrick Rose,PG,guard,5.11,14.37,15.33,5.93,0.49,0.41,3.33,2.59,27.00
Derrick Williams,PF,big,0.74,8.70,5.84,2.48,0.45,0.45,2.55,0.55,31.00
