Player Name,Position,Pos. Type,Avg. Assists,Avg. Points,Avg. Field Goals Attempted,Avg. Field Goals Made,Avg. Oe,Avg. Rebounds Offensive,Avg. Rebounds Total,Avg. Turnovers,Count of Number of Records
Luis Montero,SG,guard,0.20,2.75,2.00,0.80,0.50,0.00,0.20,0.40,5.00
Luis Scola,PF,big,0.91,10.81,9.31,4.44,0.50,1.44,6.03,1.06,32.00
Luke Babbitt,SF,big,0.59,5.57,4.18,1.59,0.43,0.24,3.00,0.29,17.00
Luol Deng,SF,big,1.38,10.42,8.83,3.83,0.50,0.83,4.42,0.88,24.00
Manu Ginobili,SG,guard,3.48,10.33,7.93,3.63,0.57,0.59,3.04,1.81,27.00
Marc Gasol,C,big,3.91,16.15,12.73,6.00,0.55,1.24,7.58,2.39,33.00
Marcelo Huertas,PG,guard,2.78,4.31,2.94,1.28,0.58,0.33,1.22,1.28,18.00
Marcin Gortat,C,big,1.62,13.77,10.85,5.69,0.62,2.54,9.54,2.19,26.00
Marco Belinelli,SG,guard,2.17,10.67,9.17,3.57,0.45,0.17,1.53,1.50,30.00
Marcus Morris,PF,big,1.97,14.55,12.45,5.29,0.49,1.39,5.61,1.74,31.00
Marcus Smart,PG,guard,3.00,9.40,9.00,3.00,0.47,0.90,3.70,1.50,10.00
Marcus Thornton,SG,guard,1.48,11.69,9.78,4.22,0.47,0.67,2.78,0.70,27.00
Mario Chalmers,PG,guard,2.90,9.45,6.27,2.57,0.51,0.30,2.17,1.73,30.00
Mario Hezonja,SF,big,0.79,5.65,3.64,1.71,0.52,0.43,1.64,1.11,28.00
Markel Brown,SG,guard,0.78,4.33,3.00,1.00,0.38,0.00,0.89,0.39,18.00
Markieff Morris,PF,big,1.82,11.29,11.50,4.36,0.41,1.14,4.77,2.27,22.00
Marreese Speights,U,big,0.58,5.43,5.08,1.75,0.40,0.92,2.83,1.00,24.00
Marvin Williams,PF,big,1.33,9.37,8.07,3.30,0.58,1.60,6.93,0.73,30.00
Mason Plumlee,PF,big,2.70,9.42,6.58,3.45,0.75,2.73,8.33,2.21,33.00
Matt Barnes,SF,big,1.52,9.13,7.76,3.12,0.50,1.03,5.03,1.27,33.00
Matt Bonner,F,big,0.33,5.17,1.67,1.00,0.67,0.17,1.08,0.17,12.00
Matthew Dellavedova,SG,guard,5.29,9.30,7.43,3.32,0.61,0.39,2.14,1.57,28.00
Maurice Harkless,SF,big,0.88,6.19,4.36,1.97,0.53,1.15,3.45,1.00,33.00
Metta World Peace,SF,big,0.88,6.46,4.76,1.59,0.44,0.53,2.65,0.47,17.00
Meyers Leonard,F,big,1.65,8.96,8.00,3.38,0.51,0.81,4.96,1.04,26.00
Michael Carter-Williams,PG,guard,5.22,11.89,10.81,4.93,0.54,0.85,4.30,3.07,27.00
Mike Conley,PG,guard,5.94,15.69,12.79,5.27,0.57,0.48,2.82,1.67,33.00
Mike Miller,SG,guard,1.09,5.00,1.48,0.61,0.55,0.09,1.43,0.39,23.00
Mike Muscala,PF,big,0.63,5.33,3.42,1.54,0.49,0.54,2.25,0.71,24.00
Mike Scott,PF,big,1.04,7.52,4.70,2.44,0.60,0.59,1.93,0.67,27.00
Miles Plumlee,C,big,0.22,4.20,1.94,1.11,0.53,0.67,2.06,0.56,18.00
Mirza Teletovic,PF,big,0.97,9.90,7.00,3.00,0.46,0.42,3.03,0.79,33.00
Mitch McGary,PF,big,0.33,3.00,1.00,0.50,0.44,0.50,1.50,0.83,6.00
Mo Williams,PG,guard,3.65,12.09,9.78,4.52,0.51,0.17,2.61,2.00,23.00
Monta Ellis,PG,guard,4.43,13.10,12.07,5.23,0.54,0.50,3.00,2.47,30.00
Montrezl Harrell,PF,big,0.24,6.22,2.12,1.35,0.80,0.71,1.71,0.47,17.00
Myles Turner,PF,big,0.13,7.00,4.75,2.63,0.57,0.63,2.88,0.75,8.00
Nate Robinson,PG,guard,2.00,0.00,0.50,0.00,0.88,0.00,0.00,0.00,2.00
Nemanja Bjelica,PF,big,1.46,6.53,4.12,1.73,0.61,0.88,4.00,0.65,26.00
Nerlens Noel,F,big,1.26,10.30,8.74,4.19,0.53,2.04,7.81,2.78,27.00
Nick Collison,PF,big,0.96,3.37,2.36,1.08,0.58,1.04,3.32,1.08,25.00
Nick Young,SF,big,0.54,9.68,7.61,2.96,0.36,0.21,1.57,0.54,28.00
Nicolas Batum,SF,big,5.07,16.24,13.03,5.48,0.51,1.00,6.55,3.03,29.00
Nik Stauskas,SG,guard,1.60,9.22,7.10,2.50,0.38,0.20,2.10,1.20,30.00
Nikola Jokic,C,big,1.31,9.36,6.34,3.52,0.70,2.14,5.41,1.24,29.00
Nikola Mirotic,PF,big,1.38,10.45,8.86,3.38,0.44,0.97,6.03,1.59,29.00
Nikola Vucevic,C,big,2.79,17.25,15.14,8.07,0.66,3.07,8.71,1.68,28.00
Noah Vonleh,PF,big,0.44,3.74,3.16,1.28,0.84,1.22,3.56,0.66,32.00
Norman Powell,SG,guard,0.25,4.25,2.42,0.67,0.25,0.42,1.25,0.33,12.00
Norris Cole,PG,guard,1.86,7.57,8.57,3.14,0.43,0.21,2.71,1.36,14.00
O.J. Mayo,SG,guard,3.29,10.38,10.14,3.95,0.50,0.33,3.00,1.76,21.00
Omer Asik,C,big,0.35,3.71,1.74,0.83,0.54,1.09,4.09,0.83,23.00
Omri Casspi,SF,big,1.62,12.07,9.00,4.59,0.53,0.86,6.52,1.76,29.00
Otto Porter,SF,big,2.08,11.92,10.31,4.58,0.53,1.42,5.38,1.27,26.00
P.J. Hairston,SG,guard,0.70,6.40,5.56,2.00,0.46,0.33,2.30,0.44,27.00
P.J. Tucker,SF,big,1.24,7.03,5.55,2.33,0.56,1.55,5.39,1.18,33.00
Pablo Prigioni,PG,guard,1.67,3.83,2.33,0.67,0.65,0.50,1.50,0.50,12.00
Pat Connaughton,SG,guard,0.00,5.00,0.80,0.10,0.10,0.10,0.40,0.20,10.00
Patrick Beverley,PG,guard,2.24,8.88,7.84,3.12,0.49,0.56,2.64,1.32,25.00
Patrick Mills,PG,guard,2.48,8.39,7.36,3.33,0.56,0.30,2.03,0.94,33.00
Patrick Patterson,PF,big,1.19,6.57,5.97,2.16,0.47,0.78,4.41,0.84,32.00
Pau Gasol,PF,big,2.93,16.36,14.00,6.50,0.58,2.43,10.71,1.68,28.00
Paul George,SF,big,4.00,24.23,18.83,7.80,0.46,1.03,7.63,3.77,30.00
Paul Millsap,PF,big,3.39,18.12,12.94,6.24,0.60,2.45,8.73,2.24,33.00
Paul Pierce,SF,big,0.87,5.92,4.63,1.57,0.32,0.17,2.40,0.67,30.00
Phil Pressey,PG,guard,3.29,5.00,3.93,1.50,0.58,0.00,1.64,1.36,14.00
Quincy Acy,SF,big,0.50,3.13,1.83,0.83,0.60,0.58,1.67,0.33,12.00
R.J. Hunter,SG,guard,0.45,5.58,3.50,1.25,0.30,0.10,1.45,0.35,20.00
Rajon Rondo,PG,guard,11.41,12.31,11.34,5.21,0.64,1.24,6.62,3.93,29.00
Ramon Sessions,PG,guard,2.55,10.07,6.72,3.21,0.55,0.21,2.34,1.34,29.00
Randy Foye,SG,guard,2.19,8.32,6.84,2.42,0.44,0.39,1.94,1.29,31.00
Rashad Vaughn,SG,guard,0.33,4.00,2.71,0.75,0.29,0.25,1.21,0.42,24.00
Rasual Butler,SF,big,0.54,3.80,2.29,0.92,0.34,0.00,1.25,0.21,24.00
Raul Neto,PG,guard,2.14,6.25,5.00,2.11,0.49,0.18,1.46,1.36,28.00
Ray McCallum,PG,guard,0.77,5.25,1.62,0.62,0.38,0.08,1.15,0.38,13.00
Raymond Felton,PG,guard,3.58,9.65,8.71,3.58,0.52,0.35,3.58,1.68,31.00
Reggie Bullock,SF,big,0.13,2.00,1.20,0.07,0.18,0.20,0.47,0.13,15.00
Reggie Jackson,PG,guard,6.26,20.23,16.71,7.29,0.53,0.87,4.19,3.10,31.00
Richard Jefferson,SF,big,0.96,8.57,5.68,2.57,0.44,0.18,1.54,0.86,28.00
Richaun Holmes,PF,big,0.65,6.45,4.30,2.48,0.97,1.30,2.39,0.65,23.00
Ricky Rubio,PG,guard,8.84,9.68,8.04,2.72,0.62,0.88,4.84,2.36,25.00
Robert Covington,SF,big,1.71,12.13,10.63,3.88,0.38,1.04,5.79,2.83,24.00
Robert Sacre,U,big,0.75,4.20,3.42,1.33,0.61,1.42,2.92,0.58,12.00
Robin Lopez,C,big,1.59,8.21,6.44,3.16,0.70,2.25,5.41,1.50,32.00
Rodney Hood,SG,guard,2.54,12.18,10.68,4.39,0.48,0.39,2.68,1.64,28.00
Rodney Stuckey,PG,guard,2.72,10.48,9.12,3.80,0.48,0.44,3.56,1.60,25.00
Rondae Hollis-Jefferson,SF,big,1.42,6.60,4.26,2.05,0.74,1.68,6.11,1.11,19.00
Ronnie Price,PG,guard,1.55,6.26,3.39,1.26,0.53,0.26,0.97,0.65,31.00
Roy Hibbert,C,big,1.63,7.22,5.41,2.41,0.68,1.88,6.16,1.34,32.00
Rudy Gay,SF,big,1.79,17.82,15.79,7.11,0.51,1.86,7.04,1.82,28.00
Rudy Gobert,C,big,1.64,9.21,6.00,3.36,1.02,3.50,10.86,2.36,14.00
Russ Smith,PG,guard,0.73,3.29,1.47,0.47,0.40,0.07,0.60,0.47,15.00
Russell Westbrook,PG,guard,9.39,25.52,19.13,8.94,0.59,1.65,6.94,4.45,31.00
Ryan Anderson,PF,big,1.17,16.83,13.48,5.93,0.48,2.07,6.31,1.76,29.00
Ryan Hollins,C,big,0.00,2.67,1.40,0.80,0.00,1.40,2.20,0.60,5.00
Ryan Kelly,PF,big,0.70,5.44,3.80,1.80,0.52,0.40,3.50,0.70,10.00
Salah Mejri,C,big,0.00,0.00,0.25,0.00,0.00,0.25,1.25,0.25,4.00
Sam Dekker,SF,big,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,3.00
Sasha Kaun,C,big,0.25,4.00,0.63,0.38,0.58,0.88,1.13,0.75,8.00
Sasha Vujacic,SG,guard,1.32,5.07,4.18,1.18,0.32,0.45,2.09,0.86,22.00
Serge Ibaka,PF,big,0.81,13.55,11.97,5.94,0.60,2.03,7.06,1.35,31.00
Sergey Karasev,SG,guard,0.18,2.75,1.00,0.27,0.25,0.00,0.64,0.27,11.00
Seth Curry,SG,guard,0.67,4.75,2.40,1.20,0.50,0.00,0.60,0.47,15.00
Shabazz Muhammad,SF,big,0.29,8.66,6.29,3.00,0.47,0.87,2.77,0.81,31.00
Shabazz Napier,PG,guard,2.15,5.42,4.08,1.38,0.47,0.15,0.85,1.00,26.00
Shane Larkin,PG,guard,3.70,7.31,5.96,2.81,0.59,0.26,2.19,1.41,27.00
Shaun Livingston,PG,guard,2.57,5.89,5.07,2.54,0.66,0.68,2.07,0.86,28.00
Shayne Whittington,PF,big,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00
Shelvin Mack,PG,guard,1.73,4.78,3.73,1.73,0.62,0.09,1.00,0.55,11.00
Solomon Hill,SF,big,0.64,5.17,2.50,1.07,0.52,0.43,1.57,0.36,14.00
Sonny Weems,SG,guard,1.21,3.83,1.57,0.50,0.52,0.21,1.36,1.00,14.00
Spencer Dinwiddie,PG,guard,1.44,5.71,3.78,1.56,0.59,0.00,1.00,0.56,9.00
Spencer Hawes,PF,big,1.85,6.74,4.93,2.11,0.53,0.56,3.74,1.11,27.00
Stanley Johnson,SF,big,1.10,8.93,8.39,3.26,0.42,0.77,3.84,1.35,31.00
Stephen Curry,PG,guard,6.43,30.53,19.63,10.03,0.57,0.67,5.70,3.67,30.00
Steve Blake,PG,guard,3.15,5.45,4.37,1.67,0.53,0.22,1.59,1.44,27.00
Steve Novak,SF,big,0.00,2.75,1.80,0.80,0.55,0.00,0.60,0.00,5.00
Steven Adams,C,big,0.61,6.52,4.42,2.45,1.04,2.48,6.16,0.81,31.00
T.J. McConnell,PG,guard,4.82,6.65,5.94,2.76,0.62,0.67,4.27,2.24,33.00
T.J. Warren,SF,big,0.72,11.73,9.25,4.72,0.57,1.41,3.34,0.69,32.00
Taj Gibson,PF,big,1.45,7.45,6.10,3.14,0.77,2.55,6.41,1.07,29.00
Tarik Black,U,big,0.13,6.00,2.88,1.50,0.52,0.88,4.38,0.63,8.00
Tayshaun Prince,SF,big,0.80,4.05,2.93,1.33,0.57,0.40,2.00,0.40,30.00
Terrence Jones,PF,big,0.89,11.12,8.56,3.89,0.52,1.63,5.11,1.00,27.00
Terrence Ross,SF,big,0.81,10.00,7.31,3.00,0.40,0.35,2.23,0.73,26.00
Terry Rozier,PG,guard,0.56,3.38,2.88,0.75,0.31,0.44,1.00,0.50,16.00
Thabo Sefolosha,SG,guard,1.34,8.38,5.69,3.10,0.63,0.79,4.69,1.03,29.00
Thaddeus Young,SF,big,1.48,15.81,13.81,7.19,0.60,2.77,9.29,1.81,31.00
Thomas Robinson,PF,big,0.12,4.28,2.50,1.27,0.56,1.12,3.50,0.73,26.00
Tiago Splitter,PF,big,0.83,5.57,4.39,2.30,0.71,1.26,3.26,0.78,23.00
Tibor Pleiss,C,big,0.00,2.00,1.00,0.50,0.63,0.00,0.25,0.25,4.00
Tim Duncan,PF,big,3.04,9.00,7.14,3.68,0.66,1.89,8.04,1.93,28.00
Tim Frazier,PG,guard,1.26,4.57,2.05,0.68,0.51,0.21,1.32,1.11,19.00
Tim Hardaway Jr.,SG,guard,0.50,2.50,3.25,0.75,0.33,0.25,1.25,0.25,4.00
Timofey Mozgov,C,big,0.46,7.52,5.35,2.65,0.51,1.31,4.19,1.23,26.00
Tobias Harris,SF,big,1.94,15.00,11.29,5.39,0.56,1.65,7.29,1.55,31.00
Toney Douglas,PG,guard,1.78,8.43,5.22,2.28,0.54,0.39,1.22,1.00,18.00
Tony Allen,SG,guard,0.89,6.50,6.11,2.39,0.50,1.29,3.54,0.93,28.00
Tony Parker,PG,guard,5.00,12.69,9.75,5.25,0.63,0.31,2.41,1.63,32.00
Tony Snell,SF,big,0.96,7.55,5.89,2.15,0.42,0.30,3.56,1.00,27.00
Tony Wroten,SG,guard,2.50,8.38,8.13,2.75,0.38,0.25,2.63,3.63,8.00
Trevor Ariza,SF,big,2.03,11.35,10.26,4.00,0.46,0.71,5.23,1.61,31.00
Trevor Booker,PF,big,0.82,6.29,5.25,2.14,0.63,2.39,6.14,1.00,28.00
Trey Burke,PG,guard,2.69,12.07,10.31,4.38,0.48,0.41,2.21,1.55,29.00
Trey Lyles,PF,big,0.46,4.06,3.27,1.12,0.52,0.96,3.35,0.54,26.00
Tristan Thompson,PF,big,0.82,7.30,5.39,2.89,1.04,3.11,9.96,0.79,28.00
Troy Daniels,SG,guard,0.25,4.57,2.08,0.83,0.47,0.00,0.42,0.33,12.00
Ty Lawson,PG,guard,4.21,7.87,6.14,2.14,0.54,0.48,1.93,1.86,29.00
Tyler Ennis,PG,guard,1.00,4.58,3.43,1.57,0.53,0.21,1.29,0.86,14.00
Tyler Hansbrough,PF,big,0.33,4.25,1.60,0.80,0.61,0.60,1.60,0.40,15.00
Tyler Johnson,SG,guard,1.71,9.68,6.14,3.10,0.59,0.81,2.33,1.10,21.00
Tyler Zeller,C,big,0.38,5.94,3.62,1.90,0.56,0.62,1.95,0.76,21.00
Tyreke Evans,SG,guard,7.21,16.38,12.64,5.29,0.56,0.93,5.71,2.93,14.00
Tyson Chandler,C,big,0.48,5.14,3.43,1.65,0.70,2.17,7.30,1.26,23.00
Tyus Jones,PG,guard,1.20,3.00,3.00,0.80,0.33,0.00,1.00,0.80,5.00
Udonis Haslem,PF,big,0.64,3.14,1.79,0.64,0.48,0.07,2.07,0.21,14.00
Victor Oladipo,SG,guard,4.00,12.79,12.14,4.69,0.50,0.48,4.90,1.93,29.00
Vince Carter,SG,guard,0.75,5.00,4.31,1.44,0.49,0.38,2.13,0.50,16.00
Walter Tavares,C,big,0.25,2.00,0.75,0.25,0.28,0.25,0.50,0.25,4.00
Wayne Ellington,SG,guard,0.67,7.08,5.80,2.33,0.43,0.23,1.80,0.43,30.00
Wesley Johnson,SG,guard,0.31,7.31,4.75,2.25,0.51,0.31,1.97,0.50,32.00
Wesley Matthews,SG,guard,1.76,13.36,11.24,4.28,0.43,0.48,3.10,1.17,29.00
Will Barton,SG,guard,2.45,15.84,12.65,5.84,0.52,0.81,6.00,1.42,31.00
Willie Cauley-Stein,C,big,0.35,6.00,3.20,1.95,0.89,1.80,5.15,0.70,20.00
Willie Reed,PF,big,0.17,4.82,2.92,1.92,0.77,1.08,2.75,0.67,12.00
Zach LaVine,PG,guard,3.42,14.58,12.55,5.42,0.50,0.55,3.16,2.06,31.00
Zach Randolph,PF,big,1.50,13.36,11.86,5.61,0.60,2.86,8.14,1.46,28.00
Zaza Pachulia,C,big,1.77,10.45,7.10,3.42,0.87,3.45,10.35,1.84,31.00
